progress,optimism,pessimism,regression
advance,anticipation,bleak,atavism
development,assurance,cynical,backslide
headway,assured,cynicism,backsliding
improvement,calmness,dejected,throwback
rise,cheer,dejection,
stride,cheerful,despondency,
amelioration,cheerfulness,despondent,
betterment,cheering,discouraged,
boost,confidence,distrust,
,confident,distrustful,
,easiness,downhearted,
,elation,dyspepsia,
,encouraged,fatalistic,
,encouragement,foreboding,
,enthusiasm,gloom,
,exhilaration,gloominess,
,expectant,gloomy,
,happiness,glum,
,happy,glumness,
,hopeful,grief,
,hopefulness,hopeless,
,hoping,hopelessness,
,idealism,low spirits,
,idealistic,melancholy,
,merry,misanthropic,
,promising,morose,
,rosy,resigned,
,sanguine,sad,
,sanguineness,sadness,
,sureness,sullen,
,trust,troubled,
,trusting,unhappiness,
,utopian,worried,
